ds,y,humidity,temp,gtrends_allergie,gtrends_pollen allergie,gtrends_heuschnupfen,gtrends_pollen,influenza,pollution_Zurich_no2,pollution_Zurich_o3,pollution_Zurich_pm10,pollution_Zurich_pm25,pollution_Zurich_so2
2020-01-06,3.506025193605484,81.8756055266666,274.9463880079361,115,0,8,22,221.0,13.9428571428571,5.65714285714285,15.4285714285714,3.0,0.5
2020-01-13,3.8985145413270166,77.8056084650793,275.98232328253926,176,0,36,39,3.0,16.3285714285714,5.48571428571428,12.2857142857142,3.71428571428571,0.885714285714285
2020-01-20,4.174012595565779,73.82098855888883,275.5759862571424,140,0,5,27,530.5,14.8285714285714,11.0,10.7142857142857,2.57142857142857,0.914285714285714
2020-01-27,3.568473251382385,80.11245648349201,274.5899068936505,150,0,5,83,911.5,18.3142857142857,2.68571428571428,24.1428571428571,5.0,0.785714285714285
2020-02-03,3.507796750311347,79.7927778974603,279.60850439999945,98,0,32,10,772.0,6.98571428571428,20.3571428571428,6.42857142857142,1.28571428571428,0.371428571428571
2020-02-10,4.127619223648162,67.63756613698408,276.69553571745973,176,0,17,10,694.5,12.7,14.5142857142857,11.4285714285714,2.71428571428571,0.742857142857142
2020-02-17,3.152266886775455,66.98214285730154,278.7998214253963,175,0,78,72,583.5,7.8,21.1142857142857,6.42857142857142,1.42857142857142,0.428571428571428
2020-02-24,3.7426517992091903,65.50396825396822,279.9235052952376,162,0,7,6,679.5,7.94285714285714,21.4571428571428,6.0,1.42857142857142,0.485714285714285
2020-03-02,3.411192473959703,72.94973544904755,278.10966269999943,135,0,17,38,336.5,5.77142857142857,25.5285714285714,5.57142857142857,1.14285714285714,0.342857142857142
2020-03-09,4.408968514439915,67.34656084714283,277.4913463698409,120,0,45,5,113.0,8.72857142857143,22.2857142857142,6.0,1.57142857142857,0.471428571428571
2020-03-16,3.3717317520083108,73.26972101999996,280.8057960507932,166,0,150,120,45.5,8.11428571428571,17.3285714285714,7.71428571428571,1.71428571428571,0.542857142857142
2020-03-23,2.1452470422917616,69.63699082317459,281.59566726031716,97,0,31,67,7.0,8.62857142857142,15.9857142857142,15.7142857142857,2.71428571428571,0.6
2020-03-30,3.4564874600865165,64.77513227460312,277.48024188095195,150,0,65,120,1.0,7.44285714285714,21.4428571428571,24.0,3.14285714285714,0.742857142857142
2020-04-06,2.9763442284171937,58.14474678761902,280.1139918793647,263,0,134,204,0.0,7.77142857142857,25.5571428571428,15.8571428571428,2.42857142857142,0.757142857142857
2020-04-13,2.5331106742686202,52.35043461825392,286.4732426349203,314,0,194,174,0.0,7.98571428571428,30.5,19.2857142857142,2.71428571428571,0.757142857142857
2020-04-20,2.687452436081517,59.11328420190471,286.09060846507896,240,0,114,269,0.0,5.88571428571428,29.9142857142857,16.4285714285714,1.85714285714285,0.514285714285714
2020-04-27,1.703545871791286,64.67341269793646,286.87251058253923,199,0,67,139,0.0,5.45714285714285,33.7571428571428,16.8571428571428,1.85714285714285,0.485714285714285
2020-05-04,0.9157479959318358,78.40976946365075,284.4949310269837,169,77,0,237,0.0,3.88571428571428,25.4428571428571,5.85714285714285,1.0,0.214285714285714
2020-05-11,1.4928215072216728,73.94614512460313,287.8393150031743,151,23,115,192,0.0,6.6,23.5285714285714,11.8571428571428,1.71428571428571,0.371428571428571
2020-05-18,0.7129690002671598,78.31301965222217,285.4230782333328,248,174,257,389,0.0,5.35714285714285,25.3571428571428,12.2857142857142,1.85714285714285,0.371428571428571
2020-05-25,1.144441665047764,63.04913076380948,289.5970342047615,296,103,187,192,0.0,4.78571428571428,29.5857142857142,10.4285714285714,1.71428571428571,0.385714285714285
2020-06-01,2.962441709942619,57.89455782317456,288.3177456539679,212,105,181,203,0.0,4.15714285714285,32.1428571428571,9.0,1.14285714285714,0.371428571428571
2020-06-08,2.608153289365002,75.85260770968249,287.45610260793603,124,49,277,140,0.0,4.11428571428571,26.2571428571428,8.28571428571428,1.28571428571428,0.257142857142857
2020-06-15,0.8302294541286444,79.99962207063487,287.60081916349145,210,10,55,70,0.0,4.65714285714285,22.5999999999999,8.28571428571428,1.28571428571428,0.2
2020-06-22,2.8187705644115724,72.63492063444443,289.1948639507932,181,44,23,79,0.0,4.55714285714285,21.3285714285714,7.0,1.0,0.214285714285714
2020-06-29,1.4633045308452235,68.48072562333329,293.5826284968251,151,59,31,168,0.0,4.47142857142857,30.8428571428571,11.4285714285714,1.42857142857142,0.271428571428571
2020-07-06,1.5053297955066085,68.40013227571423,292.8017961095235,113,14,89,116,0.0,4.24285714285714,22.2714285714285,8.85714285714285,1.14285714285714,0.271428571428571
2020-07-13,2.321194914382681,60.34778911603171,292.6157558587297,154,14,27,102,0.0,4.39999999999999,26.3857142857142,10.2857142857142,1.28571428571428,0.271428571428571
2020-07-20,1.6441385872486285,66.7333752338095,291.5755970888884,185,31,22,177,0.0,5.61428571428571,21.9428571428571,10.1428571428571,1.66666666666666,0.3
2020-07-27,1.3917666086501197,67.11621315174598,293.75128779047577,201,85,38,133,0.0,6.15714285714285,28.9142857142857,13.0,1.71428571428571,0.3
2020-08-03,2.39895175910441,68.41487150444439,295.2435506428567,203,11,51,51,0.0,5.74285714285714,29.5285714285714,14.5714285714285,1.71428571428571,0.3
2020-08-10,2.3094263528383006,66.7419690092063,293.60066421269806,200,4,77,22,0.0,5.98571428571428,24.6285714285714,12.2857142857142,2.42857142857142,0.271428571428571
2020-08-17,2.3440836126307687,73.2254346180952,294.2164011714283,255,0,94,39,0.0,5.6,29.1714285714285,12.2857142857142,1.71428571428571,0.242857142857142
